Date,User ID / Telegram,Related Group/Ransomware,Description
2025.4.14,@Haise,Qilin,"RAMP 포럼에서 활동하는 @Haise 유저가 ""We are looking for affiliates for our Qilin affiliate program""라는 제목의 게시글을 업로드함."
2025.4.20,@$$$,El Dorado,"RAMP 포럼에서 활동하는 @$$$ 유저가 ""Raa$ Black Lock""라는 제목의 게시글을 업로드함."
2025.4.22,@RaLord-RaaS,Nova,"BHF 포럼에서 활동하는 @RALord-RaaS 유저가 ""Nova Ransomware as a service affiliate program""라는 제목의 게시글을 업로드함."
2025.5.4,@Haise,Qilin,"RAMP 포럼에서 활동하는 @Haise 유저가 ""Qilin RaaS""라는 제목의 게시글을 업로드함."
2025.5.20,@VanHelsingRAAS,VanHelsing,"RAMP 포럼에서 활동하는 @VanHelsingRAAS 유저가 ""VanHelsingRAAS""라는 제목의 게시글을 업로드함."
2025.5.20,@th30c0der,Vanhelsing,"RAMP 포럼에서 활동하는 @th30c0der 유저가 ""vanhelsing ransomware source code + tor keys for sell""라는 제목의 게시글을 업로드함."
2025.5.23,@Waylander,-,"RAMP 포럼에서 활동하는 @Waylander 유저가 ""Билдер private софта Ransomware""라는 제목의 게시글을 업로드함."
2025.5.24,@th30c0der,VanHelsing,"RAMP 포럼에서 활동하는 @th30c0der 유저가 ""VanHelsingRAAS""라는 제목의 게시글을 업로드함."
2025.5.28,@RedTeam ,-,", RAMP 포럼에서 활동하는 @RedTeam 유저가 ""[RaaS] Разработаю под ключ для вашей тимы""라는 제목의 게시글을 업로드함."
2025.6.5,@MikeMelton,CHAOS,"RAMP 포럼에서 활동하는 @MikeMelton 유저가 ""CHAOS - Автоматизированный кроссплатформенный шифровальщик""라는 제목의 게시글을 업로드함."
2025.6.6,@Funksec,Funksec,"darkforums 포럼에서 활동하는 @Funksec 유저가 ""Funksec Ransomware source code for sell""라는 제목의 게시글을 업로드함."
2025.6.8,@continental_1,Satanlock,"darkforums 포럼에서 활동하는 @continental_1 유저가 ""Seeking Elite Partners for a Game-Changing Cyber Project Ransomware""라는 제목의 게시글을 업로드함."
2025.6.10,@cnkjasdfgd,Warlock,"RAMP 포럼에서 활동하는 @cnkjasdfgd 유저가 ""If you want a Lamborghini,please contact me""라는 제목의 게시글을 업로드함."
2025.6.19,@GrantV,Fsociety,"darkforums 포럼에서 활동하는 @GrantV 유저가 ""Any upcoming Or Veteran Workers, looking to Cashout BIG?""라는 제목의 게시글을 업로드함."
2025.6.22,@Nova,Nova,"RAMP 포럼에서 활동하는 @Nova 유저가 ""(Partners program) Nova RaaS""라는 제목의 게시글을 업로드함."
2025.6.23,@$$$,El Dorado,"RAMP 포럼에서 활동하는 @$$$ 유저가 ""Raa$ Global Black Lock""라는 제목의 게시글을 업로드함."
2025.6.23,@Nova,Nova,"RAMP 포럼에서 활동하는 @Nova 유저가 ""APIPN (Access-Provide-Investment-Program Nova) | Программа партнерства Access-Provide-Investment-Nova""라는 제목의 게시글을 업로드함."
2025.6.24,@Nova,Nova,"RAMP 포럼에서 활동하는 @Nova 유저가 ""Ко всем продавцам""라는 제목의 게시글을 업로드함."
2025.6.25,@Haise,Qilin,"RAMP 포럼에서 활동하는 @Haise 유저가 ""Qilin RaaS""라는 제목의 게시글을 업로드함."
2025.6.27,@$$$,Global,"RAMP 포럼에서 활동하는 @$$$ 유저가 ""GLOBAL RaaS""라는 제목의 게시글을 업로드함."
